S01,S02,S04,S05,S07,S08,S10,S11,S12,S13,S15,S16,S18,S19,S20,S21,S22,S23,S25,S26,S27,S28,S29,S30,S31,S33,S34,S35
3.9480828400553674,4.124975671067232,3.833508281860171,2.7114641674985096,4.745743654355847,4.1541392010934,4.300761490609031,3.9906555608158314,3.6699211911814325,5.156844118979438,3.726532176181461,3.6297173368546574,4.07307906630105,3.5845481482716965,3.89787040172462,3.918886495568575,3.942070221502145,3.691933961879123,4.068558153108219,4.1924186828170225,4.187908549914662,3.8900955330236036,3.242266984698217,4.5378624383829,4.560330801705223,4.931714024599991,4.268114365760491,4.1572520611447565
4.36258706799377,4.653658010121242,4.161026566691225,2.749681948484688,4.373102928728115,4.357490755280304,5.2203539832422745,3.7858033293738513,4.59283067916744,5.376651046428492,5.30888805831839,3.7904680171762823,3.9633023401093537,3.722259045683008,3.927195936195704,3.7436586319258587,3.9791522419385243,3.9371194833254792,4.0972765732921514,4.073051183101326,4.851818007696356,4.01769730543304,3.6640831350177803,4.538133870770443,4.363912893609715,4.620996002429524,4.394462922946085,4.155908197099064
4.477734326072139,5.22905559373941,4.19072261434523,5.056306395323569,4.759930871930777,4.732185340754135,4.131436349862682,4.8218779733261945,5.357922675364849,5.449809708068942,4.957257178984644,3.8938349037989295,4.281048225269985,4.244789046644405,3.8733288399481074,4.744984730798565,5.424583185211321,3.9450357443654074,4.011267373350757,4.246621019956415,4.746231966604045,3.8164821499703776,3.7844139261919265,4.77702580901798,5.235991910087725,4.676368670293932,4.096792274186299,4.276094061024564
3.9957738914584677,5.045688710539611,4.386281219323644,5.300099492539715,4.813853988106898,4.590529974158019,5.443852512703795,4.81853010702178,5.429510240584025,5.367763178836521,4.458767894294752,5.120260767715031,4.113532904800546,4.5902229906592265,3.720252116028322,4.961957350805066,4.771141544399871,4.147196494093799,4.167979148028059,4.248457918421685,5.273225014217028,3.8870312402838323,3.5834138945571814,5.14498832064231,5.391902638054403,4.654494314822847,4.022805110117611,4.257033306520415
4.969517926960698,4.911693735577902,4.2754496871882015,4.671246099400208,4.907864987248157,3.52425220450152,4.0250715464138445,4.965875197652016,4.826246785117981,5.452306961657845,3.9691952233965657,3.585180995687745,3.952013826742613,4.458243874685987,4.166383552406682,4.616830233353392,5.61779506369467,4.479134953972967,4.063395543656595,4.174943816983514,5.450899877021062,4.079059774510214,2.7690867461421114,4.761513282163531,3.972839122820028,4.256627829111948,3.2161977027800597,4.312575664294481
3.332846609690173,4.282316435137487,4.461683922172439,5.009113795056862,5.062985074395623,4.896672868304682,4.732397829427574,4.620614283324015,4.02770601194295,5.335640068746196,3.9585409869180896,3.161403257826361,3.6869150534130877,4.585659680403685,3.811267378599837,4.699446827171663,5.018567240982142,4.129000382264483,4.39455730794686,4.0753385948559915,5.437655482908556,3.7719794952114114,3.2249974713047274,5.092632907156634,4.252717762818412,4.290860459544708,3.7402141609151847,4.305411934766671
3.5529683536516954,3.992274963815256,3.836015790034894,3.9403442571306995,4.453652604304642,4.56956884337262,3.971422823480085,3.4076012051718996,4.254423803385662,3.9206163463069803,3.8378559290701353,3.4658489194892765,3.648506469140796,3.6125599078063835,3.540676214620749,3.694620459618986,4.756220938534507,3.6896870602770413,3.8140594265469288,3.746057928750825,4.256660398648652,3.7356333667057626,2.81979425602099,4.360587628849863,4.112195475357227,3.622750630811593,3.4405303210539846,3.755862572006708
3.8586396402582404,3.9660192860786316,3.949530026352587,3.9514854418988907,4.3738311457420584,3.873920912128976,4.687794509967721,3.626972959800552,4.5045659486322265,4.109207422828427,3.6499549132427025,3.6211600164746627,4.000382744925375,3.593618207421714,3.4484323245832726,4.0381855052852345,4.454042749926722,3.530921425073026,3.9219622297215007,4.0794438568127775,4.910819873713715,3.8066444687577716,3.18992355324614,4.369601814147663,4.127576188228429,3.8092875313245007,3.9995500343493102,3.9721084819485633
3.333937269238419,3.8884164157008643,4.088791184371689,3.4662550984056404,4.082411928014566,2.9067905842965125,3.9501839293883165,3.208270058433582,4.619086645691362,4.400346078763621,3.5325597752391023,3.4563563460076283,2.6560438657525154,3.1806839982390827,3.3762995244920075,3.6855040761984776,4.8428038651391745,3.528743355166811,3.493352282332869,3.656899690622998,4.347365311988012,3.847948818732057,2.8808395303658787,4.053046276749724,4.190890384248315,3.9948068441369173,3.844219301384331,4.0458465804853825
4.8562827968515325,4.290328951646375,4.073896204244129,4.6436820178852365,4.628047411554217,4.18976306190304,4.23280477345307,4.732837061929336,4.875507695771988,5.134845599092211,4.664023780612647,3.795839551642574,4.640848825029463,4.370348811423888,5.07006689738951,4.555210518659019,5.354634588206189,4.1962850788491615,4.065701440535978,4.129923772623327,5.199258667505019,4.0724952355831405,3.644478998785622,5.226490784546094,4.814339557986404,4.772822085509956,3.443547753352746,4.283199746263215
3.4928570047359377,4.404120589061469,4.438354005607129,4.974699923134446,4.616025653146426,4.760076742891825,5.078909479966953,4.613244788719717,5.128970609374779,5.41707105779269,4.898280674713776,3.948354665529158,3.767304122947486,4.581208755288407,4.0549923213512,4.701827767903223,5.4995508424673165,3.812859010028084,4.221594549113517,4.177146300511653,5.293204173981573,3.8760538716470596,3.3344782319770667,5.448978497907198,4.9740675181316165,4.4629215017881,4.018570427846894,4.377822267796898
3.546323367732114,4.076539998494853,4.146883608432469,3.906452104249439,4.200011104631599,4.438270136667859,3.926878190923287,2.9215171156736925,4.071197972424463,4.932257272680358,2.829756537773207,3.545674030557203,3.7736188280182397,3.6839282793023806,3.5373134740637524,3.4064837813366817,5.559288423668061,3.7655123989216293,3.578232504305718,3.7943287941105748,4.596336084756155,3.8819627992611467,2.7868459497986082,4.287881052370073,4.052159010233386,4.292172039491646,3.264918753288364,4.3478061750403825
3.627774138857429,3.8598402180389075,4.005715204600101,3.763584826352864,4.251146809499038,2.958332031793489,4.286329865144485,3.4102615992982415,4.6974539377984685,4.417319036584108,3.4138973029282575,3.353458563931529,3.234280587867807,3.386581805487287,3.5380287611742025,3.988568993702681,4.560395325469438,3.493826367933805,3.671616567165677,4.108475874802744,4.894623578567702,3.7140430018486192,3.167395837846741,4.1842924676170306,4.163477484848968,4.0537060598249886,3.9712411532531813,4.038431728540516
3.5865414525820425,4.1746961223504995,4.060749771956127,3.9198169789528494,4.182478387205364,2.307974325485746,3.933158014440185,3.3239604614386193,4.599797315016841,4.668289919309041,3.6298695686419697,3.380951288647596,2.5002649159035397,3.668650746525855,3.5013242126144624,3.9200046990770567,4.953116800157896,3.660623851776837,3.713151221463218,3.7369462457885323,4.648611939547371,3.960909911971181,2.9538263831843916,4.107973608134854,4.121730514026102,3.8468117900876013,3.731940293634204,4.066549266536731
